Variable,Importancia
Provisiones / Créditos Atrasados (%),0.16624567787009514
Créditos Directos / Empleados (Miles S/),0.13710234661450577
Créditos Atrasados con más de 90 días de atraso / Créditos Directos,0.10676267572907001
Gastos de Operación Anualizados / Margen Financiero Total Anualizado (%),0.09423442367364424
Créditos Atrasados (criterio SBS)** / Créditos Directos,0.07568831129328261
Depósitos/ Créditos Directos (%),0.06565088001122334
Gastos de Administración Anualizados/ Créditos Directos e Indirectos Promedio (%),0.059996050478184355
Créditos Atrasados ME (criterio SBS)** / Créditos Directos ME,0.042125239786367986
Utilidad Neta Anualizada sobre Patrimonio Promedio (%),0.039837024111120126
Créditos Directos / Número de Oficinas (Miles S/),0.03933080910823876
Pasivo Total / Capital Social y Reservas ( Nº de veces ),0.0301854641233937
Ingresos Financieros Anualizados / Activo Productivo Promedio (%),0.02843779966611609
Ratio de Liquidez en M.N. (%) (promedio del mes),0.02796274908734257
Utilidad Neta Anualizada sobre Activo Promedio (%),0.026728622888076023
Créditos Atrasados MN (criterio SBS)** / Créditos Directos MN,0.023793445162103712
Ratio de Capital Global,0.016646701735987535
Posición Global en M.E. / Patrimonio Efectivo ( %),0.011012703309658147
Ratio de Liquidez en M.E. (%) (promedio del mes),0.008259075351589975
